,value ,value ,value ,value ,value ,value 
0.0 storyteller,ap,ap,ap,ap,ap,ap
0.1 scale,all,2,3,4,5,6
1.1 NUMBER OF su,108,5,1,43,4,31
1.2 MEAN NUMBER OF MENTIONS within su,3.305555556,3.2,2,3.953488372,5.75,4.129032258
1.3 MEAN LENGTH of su (minutes),2.235185185,1.98,2.633333333,3.349224806,2.033333333,1.576344086
2.1 NUMBER OF ssu,87,5,1,43,4,31
2.2 MEAN NUMBER OF MENTIONS within ssu,4.045977011,3.2,2,3.953488372,5.75,4.129032258
2.3 MEAN LENGTH of ssu (minutes),2.475670498,1.98,2.633333333,3.349224806,2.033333333,1.576344086
3.1 NUMBER OF ssu WITHOUT ANY mentions,13,0,0,7,1,5
3.2 MEAN NUMBER OF MENTIONS within ssu WITHOUT ANY mentions,0,,,0,0,0
3.3 MEAN LENGTH of ssu WITHOUT ANY mentions (minutes),1.455128205,,,2.095238095,0.85,0.68
5.1 NUMBER OF ssu with ONLY SAME mentions,17,0,1,2,0,13
5.2 MEAN NUMBER OF mentions within ssu with ONLY SAME mentions,2.176470588,,2,1,,2.461538462
5.3 MEAN LENGTH of ssu with ONLY SAME mentions (minutes),1.050980392,,2.633333333,0.766666667,,0.996153846
6.1 NUMBER OF ssu with AT LEAST 1 SAME mention and AT LEAST 1 other mention,35,4,0,16,3,12
6.2.1 MEAN NUMBER OF SAME mentions within ssu with AT LEAST 1 SAME mention and AT LEAST 1 other mention,3,1.5,,1.9375,1.333333333,5.333333333
6.2.2 MEAN NUMBER OF OTHER mentions within ssu with AT LEAST 1 SAME mention and AT LEAST 1 other mention,3.8,1.5,,4.9375,6.333333333,2.416666667
6.3 MEAN LENGTH of ssu with AT LEAST 1 SAME mention and AT LEAST 1 other mention,3.461904762,1.65,,4.707291667,2.427777778,2.663888889
7.1 NUMBER OF ssu with ONLY OTHER mentions,22,1,0,18,0,1
7.2 MEAN NUMBER OF mentions within ssu with ONLY OTHER mentions,3.5,4,,3.222222222,,3
7.3 MEAN LENGTH of ssu with ONLY OTHER mentions (minutes),2.610606061,3.3,,2.916666667,,0.55
,,,,,,
3.1 NUMBER OF ssu WITHOUT ANY mentions,14.94252874,0,0,16.27906977,25,16.12903226
7.1 NUMBER OF ssu with ONLY OTHER mentions,25.28735632,20,0,41.86046512,0,3.225806452
6.1 NUMBER OF ssu with AT LEAST 1 SAME mention and AT LEAST 1 other mention,40.22988506,80,0,37.20930233,75,38.70967742
5.1 NUMBER OF ssu with ONLY SAME mentions,19.54022989,0,100,4.651162791,0,41.93548387
