,value ,value ,value ,value ,value ,value ,
0.0 storyteller,fv,fv,fv,fv,fv,fv,
0.1 scale,all,2,3,4,5,6,
1.1 NUMBER OF su,256,27,13,66,4,70,
1.2 MEAN NUMBER OF MENTIONS within su,2.03515625,2.740740741,1.769230769,2.666666667,2.25,2.457142857,
1.3 MEAN LENGTH of su (minutes),0.636458333,1.227777778,0.705128205,0.719191919,0.383333333,0.676904762,
2.1 NUMBER OF ssu,187,27,13,66,4,70,
2.2 MEAN NUMBER OF MENTIONS within ssu,2.625668449,2.740740741,1.769230769,2.666666667,2.25,2.457142857,
2.3 MEAN LENGTH of ssu (minutes),0.763547237,1.227777778,0.705128205,0.719191919,0.383333333,0.676904762,
3.1 NUMBER OF ssu WITHOUT ANY mentions,50,7,2,22,0,19,
3.2 MEAN NUMBER OF MENTIONS within ssu WITHOUT ANY mentions,0,0,0,0,,0,
3.3 MEAN LENGTH of ssu WITHOUT ANY mentions (minutes),0.654333333,0.828571429,0.758333333,0.654545455,,0.578947368,
4.1 NUMBER OF ssu WITHOUT ANY SAME mentions,76,11,6,33,0,22,
4.2 MEAN NUMBER OF MENTIONS within ssu WITHOUT ANY SAME mentions,1.144736842,1.818181818,0.666666667,0.848484848,,0.227272727,
4.3 MEAN LENGTH of ssu WITHOUT ANY SAME mentions (minutes),0.736184211,1.181818182,0.672222222,0.697474747,,0.572727273,
5.1 NUMBER OF ssu with ONLY SAME mentions,52,7,3,11,2,28,
5.2 MEAN NUMBER OF mentions within ssu with ONLY SAME mentions,1.596153846,1,1,1.272727273,1,2,
5.3 MEAN LENGTH of ssu with ONLY SAME mentions (minutes),0.59775641,1.007142857,0.938888889,0.275757576,0.216666667,0.631547619,
6.1 NUMBER OF ssu with AT LEAST 1 SAME mention and AT LEAST 1 other mention,59,9,4,22,2,20,
6.2.1 MEAN NUMBER OF SAME mentions within ssu with AT LEAST 1 SAME mention and AT LEAST 1 other mention,1.966101695,1.444444444,1.5,2.136363636,2,2.1,
6.2.2 MEAN NUMBER OF OTHER mentions within ssu with AT LEAST 1 SAME mention and AT LEAST 1 other mention,3.474576271,3.777777778,2.5,3.954545455,1.5,3.45,
6.3 MEAN LENGTH of ssu with AT LEAST 1 SAME mention and AT LEAST 1 other mention,0.944915254,1.455555556,0.579166667,0.973484848,0.55,0.855,
7.1 NUMBER OF ssu with ONLY OTHER mentions,26,4,4,11,0,3,
7.2 MEAN NUMBER OF mentions within ssu with ONLY OTHER mentions,3.346153846,5,1,2.545454545,,1.666666667,
7.3 MEAN LENGTH of ssu with ONLY OTHER mentions (minutes),0.893589744,1.8,0.629166667,0.783333333,,0.533333333,
,,,,,,,
number of SSU with minimum 1 same mention,111,16,7,33,4,48,
,0.593582888,0.592592593,0.538461538,0.5,1,0.685714286,
,,,,,,,
3.1 NUMBER OF ssu WITHOUT ANY mentions,26.73796791,25.92592593,15.38461538,33.33333333,0,27.14285714,
7.1 NUMBER OF ssu with ONLY OTHER mentions,13.90374332,14.81481481,30.76923077,16.66666667,0,4.285714286,
4.1 NUMBER OF ssu WITHOUT ANY SAME mentions,40.64171123,40.74074074,46.15384615,50,0,31.42857143,there are more city ssus that contain no same mentions than country ssus
6.1 NUMBER OF ssu with AT LEAST 1 SAME mention and AT LEAST 1 other mention,31.55080214,33.33333333,30.76923077,33.33333333,50,28.57142857,
5.1 NUMBER OF ssu with ONLY SAME mentions,27.80748663,25.92592593,23.07692308,16.66666667,50,40,
,100,100,100,100,100,100,
